Date,Time,Hour,Day_of_Week,Month,Is_Weekend,Junction_ID,Junction_Name,Road_Type,Traffic_Volume,Average_Speed,Vehicle_Count,Temperature,Humidity,Rainfall,Wind_Speed,Visibility,Holiday_Indicator,Festival_Indicator,Event_Type,Congestion_Level,Congestion_Label
2026-03-02,20:09:40,20,0,3,0,1,Chennai (GST Highway Node),Highway,6000,21.8,6374,32.0,64,0.0,3.7,10.0,0,0,None,Severe Traffic,3
2026-03-02,20:09:40,20,0,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,2791,15.4,2524,32.0,64,0.0,3.7,10.0,0,0,None,Severe Traffic,3
2026-03-02,20:09:40,20,0,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,2735,31.6,2563,32.0,64,0.0,3.7,10.0,0,0,None,Heavy Traffic,2
2026-03-02,20:09:40,20,0,3,0,4,Salem (Central Highway Junction),Highway,3963,19.8,3715,32.0,64,0.0,3.7,10.0,0,0,None,Severe Traffic,3
2026-03-02,20:09:40,20,0,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,3758,29.3,3774,32.0,64,0.0,3.7,10.0,0,0,None,Heavy Traffic,2
2026-03-02,20:09:40,20,0,3,0,6,Trichy (GST Central Junction),Highway,3804,19.4,3926,32.0,64,0.0,3.7,10.0,0,0,None,Severe Traffic,3
2026-03-02,20:09:40,20,0,3,0,7,Madurai (Southern Highway Ring),Highway,4498,16.0,4417,32.0,64,0.0,3.7,10.0,0,0,None,Severe Traffic,3
2026-03-02,20:09:40,20,0,3,0,8,Tirunelveli (Deep South Bypass),Arterial,2313,18.5,1989,32.0,64,0.0,3.7,10.0,0,0,None,Heavy Traffic,2
2026-03-02,20:09:40,20,0,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,1695,16.2,1705,32.0,64,0.0,3.7,10.0,0,0,None,Heavy Traffic,2
2026-03-02,21:09:40,21,0,3,0,1,Chennai (GST Highway Node),Highway,2919,46.2,2718,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,1513,32.8,1413,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,2027,43.6,2166,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,4,Salem (Central Highway Junction),Highway,1988,41.9,2204,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,2539,43.4,2405,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,6,Trichy (GST Central Junction),Highway,2383,35.3,2659,28.3,65,0.0,7.7,10.0,0,0,None,Heavy Traffic,2
2026-03-02,21:09:40,21,0,3,0,7,Madurai (Southern Highway Ring),Highway,2316,42.8,2358,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,8,Tirunelveli (Deep South Bypass),Arterial,1481,32.3,1491,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,21:09:40,21,0,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,847,34.9,849,28.3,65,0.0,7.7,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,1,Chennai (GST Highway Node),Highway,3095,47.4,2780,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,1568,36.9,1710,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,1894,45.5,1672,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,4,Salem (Central Highway Junction),Highway,1857,40.5,2034,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,2377,46.2,2261,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,6,Trichy (GST Central Junction),Highway,2083,40.2,2094,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,22:09:40,22,0,3,0,7,Madurai (Southern Highway Ring),Highway,2358,36.1,2217,30.6,66,0.0,4.6,10.0,0,0,None,Heavy Traffic,2
2026-03-02,22:09:40,22,0,3,0,8,Tirunelveli (Deep South Bypass),Arterial,1586,31.8,1372,30.6,66,0.0,4.6,10.0,0,0,None,Heavy Traffic,2
2026-03-02,22:09:40,22,0,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,900,30.7,897,30.6,66,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,1,Chennai (GST Highway Node),Highway,3645,45.1,3684,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,1283,43.9,1106,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,2033,40.4,1866,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,4,Salem (Central Highway Junction),Highway,2083,46.2,2202,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,2300,45.6,2033,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,6,Trichy (GST Central Junction),Highway,1938,48.7,2122,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,7,Madurai (Southern Highway Ring),Highway,2460,38.1,2753,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,8,Tirunelveli (Deep South Bypass),Arterial,1426,37.0,1357,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-02,23:09:40,23,0,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,949,32.5,830,33.3,68,0.0,4.6,10.0,0,0,None,Moderate Traffic,1
2026-03-03,00:09:40,0,1,3,0,1,Chennai (GST Highway Node),Highway,732,76.7,778,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,286,57.6,307,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,546,70.0,479,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,4,Salem (Central Highway Junction),Highway,390,64.2,360,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,648,71.9,705,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,6,Trichy (GST Central Junction),Highway,747,64.5,745,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,7,Madurai (Southern Highway Ring),Highway,423,66.2,478,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,8,Tirunelveli (Deep South Bypass),Arterial,342,51.2,389,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,00:09:40,0,1,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,172,46.9,154,27.6,61,0.3,12.6,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,1,Chennai (GST Highway Node),Highway,772,68.5,859,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,447,49.0,474,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,421,66.1,467,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,4,Salem (Central Highway Junction),Highway,579,65.8,579,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,768,70.4,857,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,6,Trichy (GST Central Junction),Highway,362,62.6,317,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,7,Madurai (Southern Highway Ring),Highway,648,56.2,606,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,8,Tirunelveli (Deep South Bypass),Arterial,309,52.6,266,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,01:09:40,1,1,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,285,41.0,308,28.4,65,0.0,4.3,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,1,Chennai (GST Highway Node),Highway,783,76.3,836,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,373,51.8,353,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,513,63.2,439,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,4,Salem (Central Highway Junction),Highway,533,62.1,480,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,610,70.4,639,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,6,Trichy (GST Central Junction),Highway,613,57.5,633,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,7,Madurai (Southern Highway Ring),Highway,546,61.1,466,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,02:09:40,2,1,3,0,8,Tirunelveli (Deep South Bypass),Arterial,364,43.3,320,28.1,58,0.0,7.1,10.0,0,0,None,Moderate Traffic,1
2026-03-03,02:09:40,2,1,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,195,41.2,189,28.1,58,0.0,7.1,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,1,Chennai (GST Highway Node),Highway,623,74.2,652,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,349,54.5,357,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,600,58.4,592,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,4,Salem (Central Highway Junction),Highway,605,64.6,584,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,528,67.0,582,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,6,Trichy (GST Central Junction),Highway,444,67.6,470,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,7,Madurai (Southern Highway Ring),Highway,604,65.9,564,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,8,Tirunelveli (Deep South Bypass),Arterial,339,53.9,370,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,03:09:40,3,1,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,269,42.4,256,30.1,71,0.0,11.3,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,1,Chennai (GST Highway Node),Highway,793,72.1,766,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,326,54.5,370,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,493,70.0,462,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,4,Salem (Central Highway Junction),Highway,586,66.0,630,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,662,64.8,574,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,6,Trichy (GST Central Junction),Highway,379,61.2,423,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,7,Madurai (Southern Highway Ring),Highway,527,61.8,545,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,8,Tirunelveli (Deep South Bypass),Arterial,311,52.6,341,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,04:09:40,4,1,3,0,9,Kanyakumari (Southern Coastal Terminal),Local,220,40.6,240,30.1,62,0.0,10.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,1,Chennai (GST Highway Node),Highway,998,71.7,881,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,2,Kanchipuram (NH 4 Silk Corridor),Arterial,341,55.2,337,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,3,Vellore (NH 4 Bengaluru Highway),Highway,431,70.0,490,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,4,Salem (Central Highway Junction),Highway,382,65.4,424,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,5,Coimbatore (NH 544 Western Bypass),Highway,605,65.5,690,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,6,Trichy (GST Central Junction),Highway,726,70.0,768,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
2026-03-03,05:09:40,5,1,3,0,7,Madurai (Southern Highway Ring),Highway,503,64.7,434,25.7,71,0.0,7.9,10.0,0,0,None,Low Traffic,0
